Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
28.01529,33.88385,38.12409,6767.845,1115.365,2.959318,31.994,35.42576,394.91 yds,14.77862,1.910909,9.485869,28.02913,0,DR,43.45295,1.027414,-8.257971,8.569347,-7.541933,3.135401,48.55717,56.7379,0,-0.1813335,-0.06058391,0
23.26864,32.4798,36.48635,5332.14,887.8937,-3.393113,25.60629,24.79084,396.25 yds,9.079576,-1.089748,9.591488,23.22404,0,DR,39.01392,-1.137494,-10.09469,3.1649,-4.302394,4.534214,43.54706,53.49865,0,0.621773,-0.3765983,0
20.69596,26.61919,33.51977,5710.656,833.8065,2.178501,28.35637,27.87874,402.11 yds,9.052467,0.9888241,8.396319,20.66418,0,DR,36.6339,-0.9955531,-11.43885,6.337521,-7.333074,1.656338,38.88041,50.10647,0,-0.7837437,0.2501483,0
16.81166,21.42586,28.72977,3178.946,589.5845,1.147399,35.72007,34.23507,407.28 yds,9.590735,0.4636776,10.69054,16.80156,0,DR,27.3731,-2.74763,-9.7463,3.004222,-5.751852,-0.1240832,46.93615,56.59756,0,-0.2474993,0.6429067,0
21.8722,27.06784,33.37315,3824.492,335.9761,0.4164008,32.99685,33.64141,401.63 yds,11.50014,0.2755748,5.039912,21.89033,0,DR,33.32749,-1.992988,-3.22342,2.627907,-4.620894,1.673855,42.25359,45.50784,0,-0.3186159,0.4587189,0
23.26843,28.48222,34.95193,4711.446,244.7931,-0.6306099,30.73476,31.59438,400.21 yds,11.29722,-0.17048,2.978876,23.23447,0,DR,33.86161,-1.368745,-8.377743,1.899375,-3.26812,2.222486,40.11052,48.41665,0,-0.8258476,0.4572088,0
46.26068,50.74896,49.9099,7304.716,270.2372,1.868597,30.90871,37.76493,377.99 yds,25.49381,1.792191,2.120341,46.09177,0,DR,51.92658,4.657231,-6.129624,6.41357,-1.75634,-0.1009211,39.5441,45.84148,0,0.0402476,-0.2404326,0
60.84344,65.24358,58.36642,7884.232,39.71432,1.025052,30.63338,41.24002,363.47 yds,35.93504,1.15138,0.2887141,60.46991,0,DR,57.75145,0.9542196,-5.055811,3.711195,-2.756975,1.045351,40.63955,45.68418,0,0.05430127,-0.01383521,0
70.44573,74.43977,64.3913,9272.897,-343.2393,0.1725499,28.22325,41.48891,354.26 yds,40.3844,-0.5076765,-2.121818,69.94782,0,DR,64.18797,2.973642,-7.99181,-0.3232929,3.296935,-0.2975018,36.42471,44.4278,0,-0.5742258,-0.5222615,0
71.93672,75.61141,65.21751,9506.74,-69.85472,3.149013,30.44404,44.41869,353.21 yds,46.13079,3.764756,-0.4210443,71.30058,0,DR,66.33727,4.654275,-9.501509,3.652697,1.001578,1.915724,40.47995,50.03868,0,-0.1021781,0.02430316,0
